framework,action_category,energy_action
Puppeteer,right click,0.09947186134453789
Puppeteer,right click,0.0994703907563023
Puppeteer,right click,0.10109171428571478
Puppeteer,right click,0.10239480252100475
Puppeteer,right click,0.10592053781512165
Puppeteer,right click,0.10106906722695885
Puppeteer,right click,0.10110686134447616
Puppeteer,right click,0.10255877310924613
Puppeteer,right click,0.10005936134453826
Puppeteer,right click,0.10270097899161576
Puppeteer,double click,0.10021697767857993
Puppeteer,double click,0.1059796339286438
Puppeteer,double click,0.11070619642850968
Puppeteer,double click,0.09490557142857618
Puppeteer,double click,0.1027158839285837
Puppeteer,double click,0.10100057142857188
Puppeteer,double click,0.1099055714285762
Puppeteer,double click,0.09895104017863468
Puppeteer,double click,0.11567463392851463
Puppeteer,double click,0.10567119642862985
Puppeteer,double click,0.10193525892858155
Puppeteer,double click,0.10647041517856815
Puppeteer,double click,0.10254244642864271
Puppeteer,double click,0.1050672901785574
Puppeteer,double click,0.10789400892850856
Puppeteer,double click,0.10473260267863363
Puppeteer,double click,0.10225510267855638
Puppeteer,double click,0.10318525892858157
Puppeteer,double click,0.10896885267857352
Puppeteer,double click,0.1002368214285118
Puppeteer,double click,0.10445604017851022
Puppeteer,double click,0.0991063526786379
Puppeteer,double click,0.10756354017857028
Puppeteer,double click,0.10490697767857135
Puppeteer,double click,0.1019552589285129
Puppeteer,double click,0.09724932142857619
Puppeteer,double click,0.10551072767864433
Puppeteer,double click,0.10691713392864381
Puppeteer,double click,0.10004307142864059
Puppeteer,double click,0.10880885267858639
Puppeteer,double click,0.10209041517858533
Puppeteer,double click,0.10110979017864022
Puppeteer,double click,0.10340729017851251
Puppeteer,double click,0.10048510267850726
Puppeteer,double click,0.08950354017859492
Puppeteer,checkbox,0.08012597023811878
Puppeteer,checkbox,0.07325055357143538
Puppeteer,checkbox,0.08012534523810881
Puppeteer,checkbox,0.08335867857133386
Puppeteer,checkbox,0.08172951190473092
Puppeteer,checkbox,0.08425555357143398
Puppeteer,checkbox,0.08356242857142539
Puppeteer,checkbox,0.0776086785714524
Puppeteer,checkbox,0.08060992857133777
Puppeteer,checkbox,0.08310534523806563
Puppeteer,checkbox,0.07301972023810048
Puppeteer,checkbox,0.07485513690476818
Puppeteer,checkbox,0.0746259702380715
Puppeteer,checkbox,0.07575180357150234
Puppeteer,checkbox,0.07920972023811554
Puppeteer,checkbox,0.07780930357135156
Puppeteer,checkbox,0.07692117857141542
Puppeteer,checkbox,0.0789518035714979
Puppeteer,checkbox,0.07875451190476754
Puppeteer,checkbox,0.07921472023809534
Puppeteer,checkbox,0.0775809702379914
Puppeteer,checkbox,0.07969513690483868
Puppeteer,checkbox,0.08287784523809358
Puppeteer,checkbox,0.07370992857143117
Puppeteer,checkbox,0.07508576190476891
Puppeteer,checkbox,0.07760847023808341
Puppeteer,checkbox,0.07531347023809941
Puppeteer,checkbox,0.08195722023812808
Puppeteer,checkbox,0.08448076190478059
Puppeteer,checkbox,0.08447972023808718
Puppeteer,checkbox,0.08193409523815746
Puppeteer,checkbox,0.08150367857143494
Puppeteer,checkbox,0.08104263690476002
